state,year,month,year_month,dengueCases,zikaCases,chikvCases,pop_tot,dengueIncidence,zikaIncidence,chikvIncidence
PB,2021,2,2021-02-01,336,44,87,4059905,8.276055720515629,1.083769201496094,2.142907284776368
PB,2021,3,2021-03-01,427,86,150,4059905,10.517487478155276,2.1182761665605474,3.6946677323730484
PB,2021,4,2021-04-01,638,144,247,4059905,15.714653421693365,3.5468810230781265,6.083886199307619
PB,2021,5,2021-05-01,1598,333,584,4059905,39.36052690888087,8.202162365868167,14.384573038039067
PB,2021,6,2021-06-01,2167,559,956,4059905,53.375633173682644,13.76879508264356,23.54734901432423
PB,2021,7,2021-07-01,3235,557,1283,4059905,79.68166742817874,13.71953284621192,31.601724670897475
PB,2021,8,2021-08-01,1982,263,927,4059905,48.81887630375588,6.477984090760745,22.833046586065436
PB,2021,9,2021-09-01,1911,195,626,4059905,47.07006691043263,4.803068052084963,15.419080003103522
PB,2021,10,2021-10-01,1651,152,439,4059905,40.66597617431935,3.7439299688046885,10.813060896745121
PB,2021,11,2021-11-01,875,124,338,4059905,21.552228438842782,3.0542586587617198,8.325317956947268
PB,2021,12,2021-12-01,1010,51,303,4059905,24.877429397978524,1.2561870290068364,7.4632288193935565
PB,2022,1,2022-01-01,580,42,212,4059905,14.286048565175788,1.0345069650644536,5.221797061753908
PB,2022,2,2022-02-01,1103,129,416,4059905,27.16812339204981,3.177414249840821,10.246545177781254
PB,2022,3,2022-03-01,2269,302,831,4059905,55.88800723169631,7.438597701177738,20.468459237346686
PB,2022,4,2022-04-01,4439,275,1263,4059905,109.3375337600264,6.773557509350589,31.109102306581065
PB,2022,5,2022-05-01,5819,527,2222,4059905,143.32847689785845,12.980599299737309,54.73034467555275
PB,2022,6,2022-06-01,5180,462,1538,4059905,127.58919235794926,11.379576615708988,37.88265981593165
PB,2022,7,2022-07-01,4375,396,1232,4059905,107.7611421942139,9.753922813464847,30.345537641890637
PB,2022,8,2022-08-01,2356,249,692,4059905,58.03091451647268,6.13314843573926,17.04473380534766
PB,2022,9,2022-09-01,1205,92,314,4059905,29.680497450063488,2.2660628758554697,7.73417111976758
PB,2022,10,2022-10-01,781,48,171,4059905,19.236903326555673,1.1822936743593755,4.211921214905275
PB,2022,11,2022-11-01,474,31,107,4059905,11.675150034298833,0.7635646646904299,2.635529649092774
PB,2022,12,2022-12-01,312,14,37,4059905,7.6849088833359405,0.3448356550214845,0.9113513739853518
PB,2023,1,2023-01-01,390,15,42,4059905,9.606136104169925,0.3694667732373048,1.0345069650644536
PB,2023,2,2023-02-01,487,16,31,4059905,11.995354571104496,0.3940978914531251,0.7635646646904299
PB,2023,3,2023-03-01,842,26,73,4059905,20.73940153772071,0.6404090736113284,1.7980716297548833
PB,2023,4,2023-04-01,1607,34,124,4059905,39.58220697282326,0.8374580193378909,3.0542586587617198
PB,2023,5,2023-05-01,928,52,127,4059905,22.857677704281258,1.2808181472226567,3.128152013409181
PB,2023,6,2023-06-01,677,20,59,4059905,16.67526703211036,0.49262236431640644,1.453235974733399
